cs1110,Mark Sheriff,难度 1 热度5。教授是相当厉害的一个人，讲课深入浅出。TA质量参差不齐，要选粗的大腿抱哦,PLIR 3010 国际关系理论,Legro,difficulty 5 热度3。极其优秀的人才。然而认真读书会使你学到最多东西。talk to TA，他们比教授更了解学生的困惑,SPAN 2020,Esperanza,difficulty4 hotness3 西语中级，学完2020就可以满足language requirement 啦。推荐有基础的童鞋上。UVA的语言课是真的强,COMM 1800 intro to comm,kemp,kemp 难度1 热度5 中考政治历史的学习方法。需要大量记忆哦。,CS 2102 离散,david,难度 1 热度5 cs系大水课。,,,,,,,,,,,,,,,,,,,,,
COLA 1500 with topic: Why Haven't We Cured Cancer (2016 Fall),Prof. David Kittlesen,"Difficulty 3, Hotness 5, 如果你喜欢生物想要major生物，非常推荐这个课！我很喜欢Professor Kittlesen他人超级好，而且上课会提很有趣的问题带领大家一起讨论。同时因为这个课是COLA (college advising seminar)，所以在上课的同时还会给你介绍UVA的资源，比如参观career center给你介绍怎么在图书馆research什么的，教授也会成为你大一大二的advisor。划重点COLA只有大一上学期可以上。
但是作为一个只有一学分的课work load有点大，不过Prof Kittlesen说他正在努力的减少这门课的work load，而且我觉得拿A也不是很难。",PSYC 2600 Introduction to Social Psychology (2016 Fall),Prof. Shigehiro Oishi,"Difficulty 2, Hotness 5. 超级有趣的一门课，感觉学到了很多很实用的东西。Professor Oishi讲课很可爱很逗，经常在课上讲段子自黑，考试全是选择题不是特别难，但还是要好好复习。但是听说这个课不同的professor差别有点大，想选的话到时候可以再多了解一下。
这个课很多很多人想报可能有点难抢，但是不要因为看到waitlist很多人就不抢，我当时虽然有waitlist还是第一时间选了而且一下就进了我也不知道为什么。",COMM 2010 Introduction to Financial Accounting (2017 Spring),Prof. Ann Backof ,"Difficulty 3, Hotness 5, Prof. Backof很美很聪明很女神，上课也会尽量讲的很有趣，但是我觉得Financial accounting真的好无聊，如果不是想进商院并不是很推荐，但是学了肯定还是有用的。",CS 1110 Introduction to programming (2016 Fall),Prof. Mark Sherriff ,"Difficulty 3, Hotness 4，作为以前没接触过CS的人我觉得这门课很有趣，一开始的时候有点晕觉得很难，但是学期快结束的时候突然觉得很简单，觉得掌握了很多新技能也学到了超多有用的东西。Prof. Sherriff是我觉得讲课最好玩的老师之一，画风清奇，但是有的时候他讲的很快也有点随性可能会跟不上，不过听说他最近几个学期要去忙什么事情，所以几个学期之内不会再教这门课。有的时候课后作业有点难，但是去TA office hour会帮挺大忙的，而且TA office hour特别多比较方便。",BIOL 3010 Genetics and Molecular Biology (2017 Spring),Prof. Claire Cronmille,"Difficulty 5, Hotness 4, 如果不major生物可千万别选这节课...作业很多，很多，很多...不过Professor Cronmille是很好的教授，她会补充很多书上没有的知识，office hour也很耐心。
但是我觉得这门课没有大家说的那么难，找到一个study group是最最重要的事情。考试想要考好要对知识理解的很透彻，但是各种process和enzyme的名字老师不是很爱考所以没有很多需要死记硬背的东西。然后虽然work load超级大，但是好好读书好好听课好好做作业是可以学好的，最近几次考试班里的平均分真的不低，所以想学生物的宝宝们不怕！",CHEM 1410 & 1420 Introductory College Chemistry I & II (2016 Fall & 2017 Spring),Prof. David Metcalf,"Difficulty 4, Hotness 2，个人并不喜欢化学，Prof. Metcalf讲课很迷很意识流，课前不看书基本听不懂，而且他课上会问很难很诡异还要算成绩的问题，但是好好看书的话我觉得没有Course Forum上美国小伙伴们说的那么难，Prof. Metcalf也没有Course Forum上说的那么不好，其实他人很可爱。不过如果一定要学化学的话，还是建议选 Professor Lisa Morkowhuk 或者Kevin Welch的，听说1410 Prof. Morkowhuk教的比较好，1420 Prof. Welch的比较简单，不过这两位教授的课我都没有上过，Prof. Linda Columbus 听说上学期大半个班都拿A了应该是最好拿A的化学课，但是她的课据说大部分靠自学，而且她早上八点上课，有勇气觉得自己能起得来的同学可以尝试。",CHEM 1411 Introductory College Chemistry I Laboratory (2016 Fall),TA们,"Difficulty 5, Hotness 2, 一学分，很迷的实验课，instruction很不清楚，work load挺大的，建议别选周一周二的，因为作业很难很烦，最好留出去office hour的时间（不过office hour很多很方便）。个人觉得不一定要和化学一起上，但是作为生化必修课可以本着早死早超生的心态早点把它上了，虽然有些实验要用到的知识可能还没讲但是没什么影响...文理学院的同学应该是可以选工院的1611化学实验的，1611两周上一次课但是比1411多一个group project，1411每周一次课要比1611多大概三个实验（关于文理学院上工院1611的事情还是建议再问一下教授，不知道这么做会不会有什么影响）。",PHIL 2660 Philosophy of Religion (2017 Spring),Prof. Treton Merricks,"Difficulty 5, Hotness 5，超级有趣的哲学入门课，不需要任何关于哲学或者宗教的知识也能学好。Professor Merricks是一个很大神的教授，而且他上课特别有意思，有时候竟然有种觉得一节课时间太短的感觉。作业只有读reading，前几个reading很难读不过后来会慢慢好起来，听说算work load相对小的哲学课。我觉得课的内容很难，但是考试的话每次考前老师会给大概30道review questions，考试的时候选三道改一下wording来考，而且每次考试前会有review session带着过这些问题，所以好好准备的话是完全可以考好的。",MUSI 3310 Theory I (2016 Fall),Prof. Kevin Davis ,"Difficulty 1, Hotness 3，我以前没有学过乐理，但是我觉得只要以前学过乐器并且会认五线谱，这是一门很简单的课。知识点并不多，只要考前好好复习好好背，考试的时候细心一点，绝对可以考的很好。不过我觉得这门课上课有点无聊。",DANC 2210 Ballet I (2017 Spring),Prof. Dinah Gray,"Difficulty 1, Hotness 5，提醒大家一下很多舞蹈课都在drama department下，所以想上舞蹈课的同学要点开Lou's list的Drama来寻找它们。这是一门需要一点点芭蕾基础的课，不过课上也有没有基础的同学，每节课后要写10分钟的free writing。Professor Gray是特别好的老师，很有趣很爱笑，讲了很多我觉得关于跳舞很有用的东西。",,,,,,
ENWR1510,Prof. Matthew Davis,"Difficulty 3, Hotness 4 课程讲points of view，这个课题在我看来是个双关，除了规模规矩的讲不同的narration techniques 这个课也让同学阅读各种各样有psychological disorder的narrator的心声。教授人很好对material很有热情，主动和他多聊能够激发双方对reading的思考。分数的话建议essay找靠谱的朋友proofread，一般应该是A-",RELG1010 introduction to religion,Prof. Heathern Warren,Difficulty 3， Hotness 3，内容量贼大的一门文科，一定找study group因为笔记记不全。很general的结合历史讲西方三个同源宗教，还是推荐大一初来乍到的国际生多了解了解这类文化的东西的，因为later on这些都会成为part of you。考试只要找了study group考前和ta聊还是没问题的～,Math2310 Calc3,Prof. Lloyd West,Difficulty 3， Hotness 4，老师讲课清晰 考试仿照practice exam，但material本身没有很简单,Econ2020 Introduction to Macroeconomics,Prof· Lee Coppock,Difficulty 2， Hotness 4， 老师贼风趣 博学 讲课清晰。 考试比较base on lecture。,Comm2010 Intro to financial accounting,Prof Ann Backof,Difficulty 3，Hotness 3 老师有耐心讲的还可以，就是上课过内容比较快需要下课自己再看notes。考试能错的题数比较少 practice exam will help,,,,,,,,,,,,,,,,,,,,,
COMM 1800(2016 Fall),Professor Kemp,"Difficulty 3, Hotness4, 老师是很好的人，也有很多有趣的观点。只要认真准备考试一定能考好。唯一就是。。。书太贵啦！",ENWR1510 Environmental film,Cory Shaman,"Difficulty 4, Hotness, 4 课程很棒，老师很好，但是我写作比较烂。给这个分数已经很良心啦。",SOC 1010,Professor Olick,"Difficulty 5, Hotness5。 真的是有意思的课，老师讲的也很好，但是给分真的糟糕。TA很负责任，可以多去office hour",COMM 2010,Ann Backof,"Difficulty 5, Hotness, 5. 老师超好！就是好难啊课...",ECON 2010,Professor Marc,"Difficulty 3, Hotness 4.老师人很好！TA因为是中国人，口音很糟糕。",EVSC 1010,Tom Smith,"Difficulty 2, Hotness 5.老师很有学问，课也好拿分。",SPAN 1060,"Ortiz-Rosario, Jose Luis","Difficulty 5, Hotness, 5.老师很好，但是特别严格，不好拿分。",STAT 2120,Professor Jeffery,"Difficulty 4, Hotness 2. 老师讲得不好，但是东西很简单，好拿分。",,,,,,,,,,,,
ARCH 5424,Earl Mark,这门课教剪电影编程，老师相当chill,DRAM 1010,忘了,释放天性结交朋友,PHYS 1010,忘了,水水的课教授很逗,ARCH 1020,Peter Waltman,难课 但真的有意思,ARH 1010,Lisa Reilly,对文科学生非常简单,,,,,,,,,,,,,,,,,,,,,
Comm1800,Kemp,"自己看书 online practice quiz多做几次 lecture嘛……嗯听故事的时间到了
难度3 hotness3",Econ2010,Elzinga,"Elzinga很酷的老爷爷 喜欢 讲的很有意思 看起来econ好棒好简单哦 然而考试（摊手） 腹黑可爱的老爷爷
难度4 hotness5",ARTS2610,忘了,难度3 hotness4 能不能拿A全看教授喜不喜欢你的画（笑） 然而一周5小时的commitment宝宝们选课谨慎啊,JAPN1010,Kawai,难度2 hotness3 Intro的课还比较简单的 好好上课好好写作业就没问题 老师非常可爱 我爱kawai,Econ3010,不会拼 很长就对了,难度4 hotness3 Econ201的进阶版本 加上了微积分和game theory 老师教的挺好的挺清楚的 然而考试（摊手）好好复习 嗯。,,,,,,,,,,,,,,,,,,,,,
CS 1110 Intro to programming(2016 Fall),Prof. Sheriff,"Difficulty 2,Hotness 5,非常有趣的一节课，作业potd一共16个非常manageable，老师很幽默，最后有game project做游戏。Lab可以简单拿分考试也不是很难。",Anth 1010,James Igoe,"Difficulty 3, Hotness 3. 一节有趣的人类学入门，浅显易懂的介绍了各种人类学topics，像农业起源，人类进化，到强权政体，世界经济等等，不是特别难，但教授讲课不是特别清楚，lecture没有那么有用。最有用的是考试前发的review notes，认真看完理解基本就没有问题了。",Psyc 2150,Daniel Willingham,"Difficulty 4.5, Hotness 5，非常棒的一节课，缺点是难度不低，讲了认知心理学的入门，包括感知，思维，意识，记忆等等。教授讲课非常非常清晰有趣，考试需要认真做reading和听lecture。好在reading不多",Music 1310,Derek ,"Difficulty 1,Hotness 3,讲了基本乐理，比较有趣，教授很chill上课会表演乐器，难度真的不难作业也不多。",ENWR 1510,Johnson Lingdrin,"Difficulty 5, Hotness 3,另外一节强推的课，教授非常nice她所有的观点都非常有意思，具体课程内容是从动物角度映射到各种哲学和道德问题。如果上完将是一个非常rewarding的课，reading很多且课是discussion-based，但不妨碍它成为一节很好的enwr课。",Phil 2060,Simmon,"Difficulty 3,Hotness 3, 虽然是哲学课，更多是法律入门，教授很幽默，所有成绩由两个考试两个paper组成，总体来说lecture非常重要，paper难度不是很高。",Astr 1280,Edward Murphy,"Difficulty2, Hotness 5, 教授非常有趣，讲课可能是我见过所有教授里面最清晰的，成绩由很多部分组成，比如什么额外lab，project啊，但难度都不高，作业也相对来说简单.比较难的是Quiz",CS 2102 Discrete Math,忘了,Difficulty 4，Hotness，难度大的一节课，教授一般，讲逻辑然后将数论，多做做题应该会好，因为难度大教授给分比较松。,,,,,,,,,,,,
Sts1499,Catherine ,Don't take it. ,Engr1620,Micheal Lawrence ,He's nice. High gpa overall. Requirement. ,Physics2620,Prof. Zheng,Difficult class especially when you have a mediocre teacher. But interesting. ,Apma2120,Russian teacher I could never spell his name. ,"Not a tough course, requirement, but never take it with a Russian teacher. ","Engr1621, chem1611",TAs,"Labs, requirements, nothing to worry about when you have a good team. ",,,,,,,,,,,,,,,,,,,,,
CS2110,Edward,2，1，就是学学java basics,ECE2066,Delong,3，4，delong教的好,JAPN1010,Kawai,5，5，喜欢的话请务必上,CS2102,Evans,3，3，Evans知道得很多,APMA2130,Dorning,5，3，dorning教的难但是好,,,,,,,,,,,,,,,,,,,,,
COMM 2020 Managerial Accounting,Mary Middleton ,"Difficulty 3, 认真就可以拿A，老师非常非常organized",Arts 2110 Photography II,Pamela Pecchio ,老师很nice 很有意思的课for artsy people,COMM 2010,Ann Backof,Office hour is helpful ,Music 1310,Justin Mullen,Easy A class!,SPAN 1010,Staff,Workload is huuuuugeeeee,,,,,,,,,,,,,,,,,,,,,
KOR 1010,Choi,If you like Korean it's great,DRAM 1010,Cadey,"Fun and chill class, easy A",ARCH 5710,Kirk martini,"Basic photography/ps skills, fun easy A",ARCH 1010,Peter waldman,Hard class if your not open minded and hate papers,ARCH 1020,N/A,Interesting class if you like designing drawing and making stuff,,,,,,,,,,,,,,,,,,,,,
CHEM 1810 Accelerated General Chemistry,Prof. Harman,"Difficulty 4, Hotness 5. Harman是chem department chair，人特别好，topics解释的也很清楚。因为课是accelerated（类似honor），课程进度比较快，建议有化学基础或者特别有兴趣的同学选择。我上的这一年这节课是周二周四早8，住得远的话（比如hereford，afc）还是要很早起的，要慎重考虑。",BIOL 2100 Intro Cell biology and Genetics,Prof. Kittlesen,"Difficulty 2, Hotness 4. 这节课是很多science major的requirement也是大部分high level biology的prerequisite，但哪怕只是想接触下biology的同学我也会建议这节课。大部分material都跟AP Biology有重叠，所以有生物基础的话会很轻松，但是没有基础也不会跟不上，只要好好做作业，把reading在上课前读了就没问题。Kittlesen人很好，考试出题也不会很刁钻，只有最后一次考试比较难，因为最后一大部分lecture是Kittlesen自己想讲的current topics，没有textbook based reading，建议最后几节课上课录音。",PHIL 2660 Philosophy of Religion,Prof. Merricks,"Difficulty 5, Hotness 5. 小课，平时work很少，reading optional，lecture很重要一定要认真记笔记，建议录音。这节课的内容跟它的名字有些出入，主要focus是用不同宗教的角度，通过逻辑分析来证明上帝的存在和一些相关的悖论。考试比较难，但是有study guide，强烈建议组织study group一起复习考试。这节课也只有考试前会占很多时间，平时真的只要去上课就可以了。",PSYC 2200 Neural basis of Behavior,Prof. Brunjes,"Difficulty 5, Hotness 2. 十分不推荐。虽说是psyc，但是不满足college requirement里的psyc分支，reading特别多，lecutre没有ppt，poorly organized。You will be tested on the tiniest detail that the Professor mentioned during lectures and the textbook briefed on.",PHYS 2020 Principle of Physics 2,Prof. Liyanage,"Difficulty 4, Hotness 2. 逃不过的requirement。主要讲电磁，光镜，和一点modern physics。考试不是很难，一小部分概念题是主要难点，因为会给equation sheet所以计算题只要敲敲计算器就能对。教授讲的不错，但是整体来说进度比较快，作业偏多，有时候会觉得跟不上，但有物理基础的话会很轻松。",,,,,,,,,,,,,,,,,,,,,
Math 3310 Basic Real Analysis(2016 Fall),Nicholas Kuhn,"Difficulty 4, Hotness 4, 是数学major的requirement，老师人很好很耐心，可以随时问问题，但每周五会有一个quiz。",Germ 1020 Elementary German,Rebekah Slodounik,"Difficulty 3, Hotness 4, 和其他同等级的语言初级课相比workload少很多，老师很好",MATH 3315 Cal3 honor,Andrei Rapinchuk,"Difficulty 4, Hotness 3, 课的内容不简单，但是所有考试都是闭卷take-home，TA很好",STAT 3120 Intro Mathematical Statistics,Alice Liu,"Difficulty 5, Hotness 4, 课的内容都是自学，老师主要负责念PPT， 考试不curve，95+是A，建议除非一定要满足requirement不要选这门课",PHIL 1750 The Meaning of Life,Walter Ott,"Difficulty 5, Hotness 4, 内容还好，老师讲课比较无聊，但是TA很强，讲的特别清楚",,,,,,,,,,,,,,,,,,,,,
ENWR 1510 Ghost stories,Elizabeth Fox,"Difficulty 3.4, Hotness 5. If you want to take ENWR 1510, and Elizabeth Fox is teaching it this semester, don’t hesitate and take it. Eliza 真的是目前为止我在UVA遇到过最好的老师。一开始是因为这节课的主题Ghost story而选的，但是上完之后很想再上Eliza教的其他的课 (and I’m not a fan of literature or English writing)。 她上课的时候特别有活力，给的reading也很有趣，一周20-40页，跟很多ENWR的老师比起来算是非常良心了，上课讲writing要点的时候特别有条理，而且下课找office hour的时候会愿意帮你简化你的claim，或者理顺reasoning。虽然first year writing requirement可以用SAT抵掉，但是通过这一个学期的ENWR课，感觉在build a claim and proof it方面受益匪浅，真的是在大学四年以及之后的日子里都有用的东西。",ANTH 2589 Environmental Archaeology,Kyle Edwards,Difficulty 4 Hotness 3. 给3分的hotness不是因为课不有趣，而是因为这个topic感兴趣的人比较少，所以只有20个人选了。但是如果你对考古，并且对the natural environment感兴趣，一定不要错过这节课！！！（虽然好像接下来的几个学期Kyle不会再交这节课了，但是如果他教别的课也一定要考虑上，He’s just amazing and incredibly kind)。 上课的日常就是讨论一个考古人员挖过的坑，学习他们用来研究从几十万年到几十年前的人类遗迹的工具和高科技手段。有的时候会有lab，观察动植物，或者拿着学校在不同时期的四张地图绕着学校走，观察200年来的变化， 反正就是特别有趣。基本没什么作业，只有reading和一场midterm and a final。,"EVSE 2200, Plants, People and Culture",Thomas Smith,"Difficulty 3, Hotness 4. 上了这节课之后，知道了平时dinning hall里的各种grains, vegetables and fruits 都是怎么来的，原产国是哪里，什么时候开始被种植，什么时候被引进别的大陆，还有各种酒和饮料的酿造过程。没有作业只有4个midterm，连final都没有2333",EVSC 3200&3201 Ecology,Thomas Smith,"DIfficulty 4, Hotness 4.5. 这是要学环境科学的必修课之一，每个学期都会有但是是不同的professor，个人推荐Tom Smith. 它的lab可以抵second writing requirement, lab的内容就是去山里量树，河边捕鱼，特别酷炫2333",SPAN 1010 (& 1020) Spanish,Kate Neff,"Difficulty 4.5, Hotness 5. 如果要学spanish的话一定要考虑选Kate Neff的课，虽然能不能选上拼人品。上课讲的非常好，而且人也特别nice。",,,,,,,,,,,,,,,,,,,,,
Cs2150 2017S,Bloomfield ,D5 H5 巨他妈多的作业 好好学很有用,MUSI 4559 2016F,Like Dahl ,D5 H3 老师是斯坦福的博士 有点nerdy 没有考试全是project 有意思有成就感,ENGL1500 Poe 2015S,Emily egden ,"H 1000000+ D5
这是我在uva上的最棒的课
老师哈佛本科宾大phd 非常非常有智慧聪明 而且人又漂亮有气质很温柔
学了很多很多",Musi 3050 16S,Fred Maus,"H5D4
Fred Maus真的是我遇到过最nice最体贴最靠谱的教授
普林斯顿phd 非常聪明
好课 music major必修",STAT2120,Amber Thomas ,"D4H1
老师教的一般
给分特别严格 她应该是整个stat部门给分最低的老师 不要上",,,,,,,,,,,,,,,,,,,,,
ECON 2010 (2016 Fall),Prof. Marc Santugini,Difficulty: 2 Hotness: 2 教授讲微观经济的方式很奇怪，但是讲的很清楚，每次一个内容可以讲很多遍。教授给分也很高，考试比较有套路（相对容易，和discussion内容相似，一定不要翘discussion），这课我上的时候没有作业，教授人很nice，强推这个教授。,ARTS 2110(2017 Spring),Prof. Pamela Pecchio,"Difficulty 3, Hotness 2, 这门课非常耗时间（平均每周workload 5~10小时），比较烧钱（>500刀）。教授人非常nice而且很chill，她会给additional lab days。大家平均摄影水平较高，而且洗照片难度较大，对黑白摄影不感兴趣的慎重考虑。如果喜欢摄影、洗照片，这门课是可以学到很多的一门课（也比较容易拿A）。两个教授Pam和Alice Bailey，我更推荐Pam。",COMM 1800 (2016 Fall),Prof. Kemp,"Difficult 3, Hotness 3 这门课嘛，反正不用上课听课，记一下Takeaway, 看看cengage就能过。。。",MATH 3100: Probability (2016 Fall),Prof. Abdelmalek Abdesselam,"Difficulty 4, Hotness 3, 这门课本身不是特别难，这教授。。。不想说什么，就自学吧。Final 比较难，不给curve。不推荐这个教授。",PYSC 2150 Intro to Cognitive Psychology,Prof. Willingham,"Difficulty: 5, Hotness 3. 教授讲的很好，这门课也很有趣，考试真的真的难，需要背的东西较多，非心理major慎重考虑。",,,,,,,,,,,,,,,,,,,,,
Comm 1800,Prof. Kemp,这节课需要背的东西很多，但是包含很多business的基础知识。TA评分标准不一。,CS 1110 Intro to programming (2017 Spring),Prof. Upsorn,这节课内容还是挺有意思，TA很好。老师迷之幽默，但我get不到她的笑点。,Econ 2010,Prof. Marc,涵盖基本微观经济知识，老师也很好，很耐心地回答问题。,Econ 2020,Prof. Coppock,老师非常好：非常幽默非常摇滚。他会提前很久下课。这节课也非常有意思。TA评分标准很高很统一。,Math 2315,Prof. Rapinchuk,老师对数学很有热情。他讲课速度快。workload大。作业难。如果对数学很有热情并且想要数学major，推荐上这节课。,,,,,,,,,,,,,,,,,,,,,
ECON 2020,Prof. Coppock,还可以，lecture比较好，但是考试有点古怪,HIUS 3456,Professor Leffler,lecture超级好，但是很难，essay 给分很难,ECON 2010,Prof. Elzinga,lecture十分无聊，final很奇葩,Intro to Photography I,Prof. Bailey,课外投入特别多，很有意思，暗房摄影，学的很多,CLAS 2040,Prof. Miller,希腊神话，有意思。还可以,,,,,,,,,,,,,,,,,,,,,
Econ 3020 Intermediate Macroeconomics (2016 fal)）,Prof. Osotimehin,内容不是特别难，但是这个professor上课有点迷，知识点并不能解释清楚，考试成绩占比很大，给分也不是特别高。听说fall semster有位韩国教授的课很简单。,Econ 3010 Intermediate Microeconomics (2017 Spring),Prof. Troyan,教授讲的挺详细清楚的～（hotness: 4.5!!!) 考试还行，还是很推荐的！,STAT 2120 Introduction to Statisitical Analysis (2016 fall),Prof. Woo,不难～平时作业什么的比重很大，所以平时认真的话成绩会挺高的！,Dram 2810 Cinema as Art Form (2017 Spring),Prof. Marshall,"很喜欢这门分析电影艺术的课！满足humanity的fine arts requirement, workload也不大，lab的时候就是看电影（从黑白无声到彩色lol), 收获挺大的，教授人也特别好！",CS 1110 Intro to programming (2017 Spring),Prof. Praphamontripong,课程本身不算难，写的一些code也挺好玩的，没有CS基础的话还是很好的intro课！不过这个教授有口音，思维有点跳跃，讲的不是很清楚，幽默的点也渐渐get不到了，尴尬。另外一个教授Luther Tychonievich对比起来好很多！,,,,,,,,,,,,,,,,,,,,,
FREN 1010,Mme.Elizabeth Groff,Wordload每天1－2小时 上课的进度很快 但是没有想象中那么吓人 gpa给分还是比较送的 只要每天认真做作业考试前抱一下佛脚 结局还是比较美好的,RELI 2070,Shankar Nair,能够satisfy non western和religious study这两个requirement reading很多很难但是其实不需要全都读完 所以workload还是比较友好的 Prof Nair人特别好 给分给得很公正 知识也特别渊博 感恩节会提前放假 考试全都是开卷的并且会提前把题目告诉学生 还是很值得推荐的,FREN1020,Cécile Rey,Cécile是法国人 法语的口音太好听了 听她讲话是我每天上课的动力 可能是最chill的法语老师 要是想要chill一点的话一定要跟着她 workload比同一门课的其他老师都小 gpa也很友好,HILA2002,Thomas Klubock ,Klubock的课和reading都特别有意思 完全不会让人觉得无聊 他讲课的语速很快 所以抄笔记老是抄到手疼 但是过程特别rewarding 可以satisfy history的req workload也还行 在uva的history里还是算比较有好的,PYSC2600,Timothy Wilson,Wilson应该是教PYSC2600里面资历最老的老师 也是课本的作者之一 确实教得很好 感觉虽然考过AP psych但是还是能学到很多东西 要是能上他的课一定要上！,COMM1800,Robert Kemp,考试前抱佛脚是最有用的 课本挺好看的,,,,,,,,,,,,,,,,,,
PHIL2660 philosophy of religion,Professor Merricks,"The best class I have taken, 10/10 recommend",comm2020,professor Middleton,best professor ever,stats3120,Professor Alice Liu,"major requirement for math and stats, a lot of people dont like it, I loved it and found it very interesting",Math3310 Basic Real Analysis,Professor Yen Do,"did research with this professor, he's also my major advisor, took his differential equations class too, love him",Comm1800,Professor Kemp,AVOID if you are not precomm,,,,,,,,,,,,,,,,,,,,,
"Paris, the capital of 19th century",Sarah Betzer,"4, 5. History and art intertwined so learned about both and how one has impacted another; the words she used are just precise and beautiful; lots of readings and fair amount of writings; if you're curious it's worth it",Problems of Roman Art,John Dobbins,"3, 5. He's an old guy but open to new ways of teaching the class. We had group projects in which we analyzed the design of a gallery in museum and drew the pavilions on the lawn. Discussion was great, learned a lot and wasn't intimidating even though I knew little about Roman art.",ASTR 1220 Intro to Galaxies & Universe,Ed Murphy,"3,5. My favorite lecturer/professor at UVA. Completely taken away by this class, the universe is just so fascinating and he demonstrated this with his knowledge, examples and passion. Recommend to anyone, especially those who want to fulfill the science requirement but doesn't want a traditional chemistry or physics class.","Strategy, block 1 in comm school",Carl Zeithaml,"3,5. First look into why businesses thrive and fail. It's a good start of the comm school. Will be useful twenty years down the road.","Finance in block 1, comm school",Robert Webb,"4,5. My favorite professor in the comm school. The way he teaches finance is by relating the theory to current events, and showing you all the intricacies in a case that looks simple at the first sight. The way he dresses is also charming.",,,,,,,,,,,,,,,,,,,,,
ECON 2010: Intro to MicroEcon,Prof. Elzinga,"I won't say it is an easy A class. This class seems really easy at the beginning, but the final is tricky. I went through the study guide and practice questions but still found that there were questions from the final that had not been covered in the discussions or the lectures. And don't rely on the dutch knockout. A lot of people thought they could use the dutch knockout, but the final was more difficult than they imagined so it turned out they still had to use the 400 scale. Got an A-. Definitely a GPA killer for me. Don't really recommend this class unless you have to take it. Prof. Elzinga is a really nice person though.",ARTS 2610: Intro to Drawing,Prof. Bernstein ,"LOVE LOVE LOVE IT! Prof. Bernstein is one of the best professors I had. She has a special approach for teaching. She is more focused on your progress instead of one particular drawing. A lot of us came to class and knew nothing but drawing, but she has been very patient and kept saying how amazing our works all were. I am grateful I had her. Lowkey telling you I heard other professors are kinda mean and give a lot of work... ",RELJ 3490 Jewish Wedding,Prof. Ochs ,"LOVE LOVE LOVE! The class is so interesting and Prof. Ochs is one of the best professors I have had so far. She is super nice and patient, and will take your year, your experience with religious studies and so forth into consideration when grading. That being said, she focuses more on your overall progress and the efforts you put into. Some people are unsatisfied with the grading. In my perspective, you don't really need to know how exactly every assignment is weighted because overall you only have three assignments, which means you need to pay attention to every assignment and really do it. The most important one is the midterm assignment. I spent 1.5 hr everyday doing that for almost a month before it was due. Many thought it was a fun and easy A class, but the truth is it is very interesting but not necessarily an easy A. I would recommend it to those who are interested in the subject matter and who are willing to spend time on it.",FORU 1500 Creativity,Prof. Ochs and Prof. Misliuk,"I am part of the Creative Processes forum and this class is our required class for the first semester. I really love the nature of the class. We had many fun activities, such as dancing together, acting, walking around the classroom in different speeds, and making weird poses. We had guest speakers for every class. As for the workload, basically you need to write a response every week, reflecting on what you have learned in class and connecting it to the old materials. There is a 5-page midterm paper on what you have learned so far. The final is similar. Since it is a ""creative"" class, I guess everyone got an A in the end.",EDIS 2010 Intro to teaching,Prof. Wilson,A solid easy A class. You get full credits as long as you do the work. Quality doesn't matter. Classes meets twice a week and you need to go to a high school or middle school for 10-12 hours volunteering.,,,,,,,,,,,,,,,,,,,,,
CS1110,Prof.Sheriff,Difficulty 3 Hotness 5 教授讲课特别有趣，也很有自己的风格。平常的作业量也并不是很多。除了考试之外，家庭作业在成绩中也占了很大比重。,PHIL 1410,Prof.Cargile,Difficulty 5 Hotness 2 教授在UVA已经教书有50多年了，算是见证了UVA大大小小的变化。很有智慧。课上的内容初听会有些迷惑，但是去教授office hour 会有很大的提升。基本上A-是最高分,Intro to Cognition Psyc2150,Prof Wilingham,"Difficulty 4 Hotness 4
基本没有作业，但需要做Psych study. 教授上课讲的内容特别重要。 概念的区分和理清也很重要。考试考的很灵活。",CS 2110,Prof.Basit,Difficulty 4 Hotness 4 教授讲课很清楚，难度也不大。很多都是建立在CS1110的基础上的。,COMM2010,Prof.Backoff,老师上课讲的很清楚。作业不多，都在巩固上课内容。考试也不难,,,,,,,,,,,,,,,,,,,,,
Econ 3010,Gaurab,"Difficulty 3, Hotness 2, 比较容易得A",Stat 2120,Spizner,"Difficulty 2, Hotness 2, 老师不咋的，比较容易得A",COMM 1800,Kemp,商院requirement，学到很多有趣的商业姿势,ENTP 1010,Bevin,创业课，非常有意义，是我上过最有趣的一门课，中国人很少几乎没，很多课上讨论，比较容易拿A,CS 2102,Edward,discrete math，cs必修课，都是数学内容，很多逻辑证明知识，是一门很有意义的基础课,,,,,,,,,,,,,,,,,,,,,
ECON 2020 with Coppock,Lee Coppock,"Difficulty 2, Hotness 5",CS 1110 Intro to programming,Sheriff,"Difficulty 3, Hotness 5",HIEA 1501,Robert Stolz,"Difficulty 5, Hotness 1。Stolz的课是我在UVa上过最intellectually challenge的课，非常推荐对历史，尤其是东亚/日本历史和哲学感兴趣的同学上",JAPN 1010,Marshall,"Difficulty 4, Hotness 3，日语课的老师和课上的小伙伴都挺好的，强烈推荐",SLAV 2360 Dracula,Stanley Stepanic,"Diffitulty 1, Hotness 10/5, 挺好的课，内容也有趣，不过大一是不可能选进去的，以后大三大四要满足各种college requirement的时候可以考虑",,,,,,,,,,,,,,,,,,,,,
