Math1320: 是Cal2课程，其实还挺难的，比Cal1难好多，听说比Cal3还难。上课老师也都是staff，建议如果能用ap换还是尽早还掉比较好。,DRAM1010: How Theatre Works，是一节非常有趣的课，只是上课地点离dorm挺远的。上课除了Lecture还会有Sectional Work，会分组演戏。教授Cady Garey人超好，她邀请的guest speaker也都很棒！安利这节课各位戏精！,FREN3032: 看这节课点评的孩子们应该不太多……这节课上的是法国文学，会要求读很多东西，有诗歌，小说，散文和剧本。我的教授是Jennifer Tsien，一个在美国出生法国生活过的ABC，非常喜欢中国文化，人也非常nice！,
STAT 3130 with Maria Ferrara 超级水课。脑力：1颗星 体力：3颗星,STAT 4630 with Jordan Rodu 教授很萌但是很disorganized，丢三落四笨手笨脚的那种，而且内容不是很深入。 脑力：2.5颗星 体力：3颗星,CS 4501 with Yanjun Qi 在上过的CS课里面我感觉教授最好的就是这节课了，理论扎实，上课作业全是干货，教授脑子很清楚。脑力：3.5颗星 体力：4颗星,CS 4501 with Vicente Ordonez 教授很尬，讲课水平很一般，就是人比较chill 脑力：3颗星 体力：3.5颗星,
MATH3250 with Paul Bourdon: 教授人很好也很可爱，讲课非常注重基础，会要求默写公式，但是考试不算很难。,CS2110 with Nada Basit: 个人挂得很惨的一节课，不过是CS专业必修，挂也没有办法；唯一的建议是作业尽早开始，多去Office Hour。,CS2102 with David Edwards: 前半学期比较简单，后半学期知识点猛然变多的一节数学课；同样是CS必修，不是CS专业就不用上了；主要靠自学，上课效率不高但是有inclass activity 所以必须去。,GERM1010 with Julia Gutterman: 小众的德语入门课，可以很快和教授和同学交朋友，因此推荐第一学期就开始上；课程内容不难，教授nice，而且整个department会有很多活动来支持你学习第二外语，非常推荐！,PHIL2420 with Joshua Schwartz: 逻辑入门，课程内容简单，CS专业选修；教授脑子有问题，经常讲错/出错题，因此建议在Prof.Cameron教的学期里上，千万不要上Prof. Schwartz的。
MATH2310(advanced Calculus) with Prasit Bhattacharya: 老师讲的还是整体来说还是不错的，有比较清晰的课程结构。但是讲课进度速度偏快，考试比较难。这节课是declare数学专业的prerequisite。,MATH3351(linear algebra) with Julia Burgner: 为数不多的数学教的比较好的女老师吧hhh上课速度不是很快，板书也能跟上，讲的非常清晰，考试难度适中，好好学没什么问题。但是平常作业偏多且琐碎。,"ECON3030(money and banking) with Zachary Bethune: 这位老师……emm……讲的东西其实不是很难，但是上完他的课再写作业，总觉得好像他上课讲的和作业没什么关系。考试之前不会有practice exam，全靠自己看书，reading比较多。整节课来说没有非常复杂的知识点，但是知识点比较琐碎，建议上过ECON2010,ECON2020 以及COMM2010后再上这门课会比较轻松。",,
COMM 1800 with Jeff Leopold: 感觉这节课没有上学期的同学说的那么无聊 也觉得教授在尽力让这门weed-out class变得更有趣，但考试让我有点抓不住重点，group project和individual project的评分标准和ta有比较大的关系,ECON 2020 with Lee Coppock: 教授上课讲的内容基本是他自己写的教材的内容的简略版 但是听听课还是有用的。discussion的话我觉得很有趣 主要可能是ta的原因。考试需要记比较多东西，但不能说是很难。,PLPT 3020 with Stephen K. White: 超级喜欢这节课，绝对是我上过的课里算是排前二名的有趣的课。教授讲课简直真的非常深入浅出。这节课上课听课非常重要 reading是为了上课做铺垫的。,STAT 2120 with Jeffrey Woo: 这节课只能说是比较必要的课，教给你很多statistical analysis的技巧。难是不难，但要说真的有趣也比较牵强。,CS 1110 with Luther Tychonievich: 这节是computer science的入门课，教python。个人感觉非常有用，教授上课也非常激情。但是在过了第一个midterm以后进度会加快，可能会比较不适应。
CS2110 Nada Basit 教授人很好，作业和考试是所有老师统一的,MATH3100 AA 讲得好，考试听fair，有dutch knockout,MATH3250 Yen Do 考试简单扣分少 老师讲课有点boring,ENWR1501 Amanda Sigler Paper量较少 participation非常重要,MUSI1310 Heather Mease 水课 easy A
MATH3100 with AA：教授非常负责；讲得也很清楚；但是课的内容还蛮难的；板书有时候有点乱，会让人看不明白；有dutch knock-out system所以不算一节gpa killer）,PSYC 3410 with Emery，讲各种disorders，这个课内容真的非常非常的有意思，老师讲得也很好。这个课最差的就是有四个midterm，一个final。但是考试都是50道选择题。有optional writings，可以提高一个grade letter,ECON 2020 with Coppock 我很喜欢coppock的讲课方式，他这个人也很风趣。课程内容不难，考试是short answer questions，期末是选择题。这门课也是dutch knockout,ENWR 1510 with Sarah Moseley 课稍微有点水，但老师真的非常关怀学生。作为一门writing课，我们阅读量没有很大，也不需要考试。只有四篇paper，还可以不停的进行修改。,CS 2110 with Nada Basit 个人觉得nada人真的太好太好了，讲课方式也很吸引我。这门课考试是所有老师这门课的老师一起出题，所以出题没有什么规律。但是最后有extra credit
CS 2110 教授比较负责， 每节课下课前都会有一个小的in class assignemnt， 让我明白了CS其实大部分都是自学的,ECON 3010 相比起ECON 3020， 3010更实用一些并且要记得东西也比较多。但是Marc Santugini很负责，对他的学生们都很用心。,"ECON 3030 with Bethune 学的东西是比较多且实用; 作业单看上课的课件是完成不了的， 必须要自己读书",EVSC1010 比较像升级版的高中地理，每节课都是给很多词汇并需要去记,MUSIC 1310 Heather Mease讲课比较organized并且对学生很用心
USEM 1510：Seminar很看教授 我很幸运能够选上professor Urbanovich的课 他的人很好，对前苏联的各方面了解也很深,MUSI 3390: 强烈推荐喜欢作曲的同学选这节课 Professor Reid是我决定选择musci作为专业的原因,MUSI 2120：爵士乐历史 内容不难 只要好好上课和TA沟通即可,CS 2120：主要靠自学,
STAT 3120;难度中等，instructor明年不在UVa了，但是人很好。课很难，但也是统计学的必修课，能学到很多。,MATH 3351；难度中等，教授口音不太好，但是人很好。主要靠自学，概念很多。,Comm 2010；是网课，纯自学，不是很难。,COMM4539；教授很好，课很好，很推荐，是marketing的一个很好的intro,Psyc 3410；教授很好，考试很奇怪，内容很有趣，心理学比较推荐的一门课。
BIOL 3010 with Paul.A and Jay.H 两位教授是本系神经生物学研究的大拿，但是授课水平极差，课程难度不高，但是教授的水平增加了课程的难度，没有作业。,BIOL 3020 with Bob.C and Butch.B 两位教授水平很高，讲课清楚有条理，考试难度适宜，没有作业，课程难度一般。,BIOL 3420 with Mark.K 课程难度一般，但是多以背诵为主。教授水平一般，可能受限于课程内容无法发挥。作业很少,BIOL 4390 with David.K 课程难度大，以课堂讨论原始科学论文为主，教授水平很好，作业是每周阅读论文并准备课堂展示。,MATH1320 with Andrew.K 课程难度一般，老师水平一般，作业量大
"PYSC 2600(Social Psychology) with Tim Wilson. 非常值得上的一课，可以说是心里学的核心。难度因人而异，3个考试2篇Paper，只要用心写能拿A",ECON 3030 (Money and Banking) with Doyle. 如果你对金融感兴趣，讲的是银行系统和理财产品的走势。课比较难，需要花很多时间学习，但非常实用,ECON 4210 (Behavior Finance) with Professor Burton，这节课只有在UVa才有offer，论证了行为学在金融经济当中的作用，以及为什么多数金融模型失效的原因。很多概念和实验需要记住。平均分A-,,
"ENWR1510. 不难，教授很水，作业中等",FREN1020，非常喜欢，法语部的老师都很棒,COMM1800，为了尝试上的，知道这不是我要学的，guest speaker的演讲中学到了不少,MUSI2120，教授非常棒有热情，喜欢爵士的一定不能错过的好课,KINE1410，瑜伽课，老师很一般，早8很辛苦
JAPN1020 with Tomoko Marshell：这个老师特别好，上课时很细心也很严格，但是课后是一位非常随和的老师，可以常去她的office hour她会帮我们很多。课程不难，每天都有作业，但作业量都不大。因为是中国人，所以每两周一个单元的cover速度也不会觉得太快。,PSYC2600 with Timothy Wilson：老师每节课的ppt都会上传所以上课如果跟不上也没事。textbook也是他写的，所以他的教授和textbook的契合度很高。但是每周reading一般三十页左右，对我来说有点小多。,DRAM1010 with Cady Garey：这位老师上课很chill，一般不计attendance。但是会需要creative thinking，而且有半个学期是跟不同的TA进行group work，所以分到不同TA还是挺不同的。,MATH1220：这节课是graduate student给我们上的。学的内容很简单，作业一周一次，难度相对来说比较小。,EVSC1010：学的东西相对比较简单，所以不去上课在家看ppt也行。考试全选择，所以平时做好每一课的归纳总结的话考试前两三天开始背就没问题了。
ECON3030 课程基础，作业少且简单,PHIL2440 课程简单，哲学专业必修课，作业量适中,HIEU3812 引人入胜，阅读量大作业量少,ECON3720 课程较难，作业量大,PHIL3310 seminar课程新颖，作业量少
COMM2010 with Roger Martin: 这节课是教accounting的一些基础知识，是网课。每周课业量不大，认真读书做作业就很好拿A.,STAT3120 with Taylor Brown: 这节课基本靠自学，内容很难，老师讲的不好。考试curve很大。这节课很重要，认真自学还是可以学懂的。,MATH3351 with Julia Bergner: 这个老师讲的很好，但是要求太严格了，作业也非常非常多。考试看起来特别简单可是每次平均分都是c，老师给分给的特别严。不是很推荐。,,
HIEA3162，讲述历史上中国与世界的关系和发展。教授讲课非常生动，从中立的视角看待很多中国与国际关系的问题（例如领土纠纷）。阅读量非常大但是没有作业，两次考试一个10页的paper。,ECON 4190，课程教的内容很理论，计算较大但是比较简单，概念比较抽象，作业很多，考试很难。教授上课讲的很清楚。,MUSI 3310，对学过乐理的人非常简单。,,
MATH2310 with Prasit: 教授上课中规中矩，内容如果bc学的扎实做题不会觉得很难，但是有点难理解；考试放水，完全看自己想学懂多少,ECON3010 with Marc： 天使，我真的不配做他的学生。无敌负责，无敌友善！,CS1110 with 泰康：有趣的cs入门课，教授有视频，不用早起上课，看看视频都能懂，作业也都很有趣。,PLPT3020 with Stephen White: 教授超级搞笑，很多梗。阅读量不是很大，写作也不是很多，主要是考试,COMM2010 网课：都是在网站上操作，不需要上课，只要平时自己花时间写一下作业就可以了，非常自由，可以自己安排。非常喜欢这么灵活的课程。
COMM 2010：网课，很flexible，不是很难,MATH 3351 with Andrew Obus: 老师很好讲的很清楚，但考试很难，非常conceptual,STAT 2120：不难，作业多，很繁琐，无聊,CS 1110：不是很难,ENWR 1510 with Sarah Moseley: 上课很无聊，教授nice
"HIEU 1502 Professor Megill 历史部门的珍宝。",STAT 2120，j woo很可爱 课很无聊,phil 2660，prof merricks幽默风趣 作业量不大,comm 2010，网课，水,enwr 1510 with Devin Donovan，人很chill 一开始觉得课题很好玩 但上多了觉得很cliche
MATH 3351 with Julia Bergner: 难度一般，老师很负责，讲得不错，但作业量很大,ECON 3010 with Marc: 比较简单，老师很热情，讲得不错，作业量不大,COMM 2010：难度不小，主要是网课，自己要安排好时间，作业量大,DRAM 1010：难度不大，老师很好，课也很有趣，作业量不大,MUEN 3650: 这是University Singers的课，2学分，grade based on your attendance，没有作业，但有不少concerts
Math3100 AA：教授负责认真有趣，前两次考试不难，听说final 很难,Econ 2020 with Coppock：没作业，分数来自考试和ta。讲得特别好，但是不喜欢他的考试,Enwr 1510 with Charity Fowler：教授很chill，上课主要以讨论美剧为主。没有predicted score,Comm 2010: 网课，没有看到太多教授的effort，商院prereq，内容不是太难,CS2010 with Edwards： 课后要花一些时间搞懂concept，考试前认真复习，workload有点大
"PSYC2600 with Professor Wilson workload不大，三次考试（非cumulative）两篇paper，有extra credit，需要相对认真的看reading",MATH3100 with AA 之前基本没有接触过probability，觉得这节课不简单（当然也有很多同学说easy a），是这学期相对来说有些struggle的课 上课proof居多，作业/考试还是计算,MATH3351 with Professor Maloni 教授人非常好，对attendance有要求，讲的一般般,ENWR1510 with Professor Sligh 教授人很好，但给分没有很水，喜欢sherlock holmes的可以考虑,COMM 2010 with Professor Martin 纯网课，在线看书做作业，个人觉得课程设计一般
STAT3250 with Jeff Holt：大水课，没有考试，总成绩由12个assignment组成。基本就是一个python的应用课(主要用了pandas和numpy)。workload很轻，几乎不用听lecture光看classnote就可以，easy A。,STAT3120 with Daniel Keenan：Daniel Keenan的lecture质量真的是emmmm 感觉听了和没听几乎没有区别，不过好在有slides可供复习。作业比较简单，考试的题目也比较常规，Keenan批卷子会给很多partial credits，所以这门课的A率在一众STAT3120里面还是比较高的。,"CS2102 with David Evans：co-lectured by David Evans和一个名字特别长的人。slides几乎囊括了lecture的所有内容，但还是推荐上lecture.因为有些细节，concept和证明会在lecture里面得到更好的阐述。homework不多但是基本都是proof，所以最好不要等到due前一天才开始（血的教训）。midterm的题型和practice test完全一致，并且如果两次midterm分数高可以期末免考。总体来说算是easy A。",,
"COMM 2010. 网课有点烦人，但是内容还是很有用的，整体不是很难。","MATH 1220. 简单版calc2，水课。",ENWR 1510，超级推荐Criminal Mind，读的书特别有趣，教授人超级好讲课讲的也好，作业和reading的量也不是特别多。,JAPN 1020，挺简单的每天上课就是快乐讨论，很开心的一节课。,ARTS 2610，workload巨大，很累，但是教授人非常好，画画会进步飞快。
HIEU 1502 Historical Narration. 非常帮助critical thinking的一节思想史课，教授水平很高，作业量每周一篇essayDostoevsky. 个人不喜欢这节课，因为不喜欢陀思妥耶夫斯基。教授水平不错，作业量不大。对陀翁感兴趣的同学可以上一上。,Astr 1280。课程难度一般教授很好作业量不大。,ENGL 3030. 教授非常棒，reading非常多，课程有意思。Rewarding。,None
ECON3010 Marc Santugini marc人特别特别好特别特别负责 econ major必修课,PSYC 2600 with wilson 很实用 wilson很有人格魅力,ENWR 1510 with Charles Sligh 不喜欢writing 对福尔摩斯也一般般的慎选 workload大,ECON 2020  lee 很基础 教授搞笑讲的好,PSYC 3410 教授讲课 ppt意识流 考试不是很好拿分
PSYC2200 课很有趣，考试很难，没有作业。,"PSYC3410 课还好，考试很Tricky, 没有作业。",PSYC3006 如果不是major requirement不要上！,,
ENWR 1510（Joseph Wei）：我觉得writing about emotions很有意思，也读了很多有趣的文章（也有很多philosophical的文章），教授比较chill因为很年轻，改作文会特别细致，然后Office Hour多去真的很有用。这门课对写作的要求可能会颠覆高中时候学到的规矩的方法，但是多和教授沟通想法，也会收获很多东西。,MATH 2310（Prasit）：正常上课，有quiz，有hw。上课讲的内容非常多，有点overwhelming需要课后自己再去看书弄懂。好好学是可以拿一个fair的成绩的。,ECON 2020(Lee Coppeck):教授真的很可爱嗷嗷，人很nice，有international perspective，把经济和现实社会结合的很好。课后看书，正常考试考quiz，好好学不会拿不到好成绩。,CS 1110: 非常清楚的知道自己是文科生可以就别选这节课了。。。以及知道自己对programming基本上没有默契的朋友们一定要记得drop/withdraw这门课！！！这是一门觉得简单的人就非常简单，get不到的人就是get不到的课程。。。,COMM 2020：要看的东西非常多，有作业，practice problems，三个考试，分数中规中矩，为了商院请好好上这门课吧。
HIEU 1502 with Allan Megill:强推！关于philosophy of history的seminar，教授非常好，同学都很有想法，对reading writing能力有很大的提升,PHIL 2660 with Trenton Merricks: Prof Merricks的这节课一直很受欢迎，内容非常有趣，也很适合没有上过哲学课的同学，三次test各占1/3的final grade。,SOC 1010 with Rose Buckelew：sociology major的必修，lecture很紧凑节奏很快，教授一般，GPA一般，内容还是挺有趣的。,RUTR 2730 with Julian W. Connolly: 强推Dostoevsky和Prof Connolly！Reading很多，但教授非常好上课很热情，我自己非常喜欢,MATH 3100 with Abdelmalek Abdesselam: 对于学stat和econ的很实用，但lecture比较无聊。内容还是有难度的
ENWR 1510 with A. Sigler: 文理的第一年写作必修，要看选到的老师，每个老师都会有各自的topic。我选到的老师topic是War，还是很不错的，人很nice，也学到很多writing principles。这门课总体来讲事情略多，前半学期读Iliad的时候reading会比较多一点，后半学期相关的writing assignment会多，期间还会有3次不同类型的present；给分是去年高，上个学期低下来了，不知道这学期如何。,HIEU 2041 with E. Meyer: 历史department最难的课之一，阅读量很多(average 100+页/周， 主要是discussion的reading)，考试时候时间压力也蛮大的，但是老师讲的很好，topics都非常的interesting，推荐罗马史“入门”狂热爱好者，或者对于这方面有一定兴趣，而且这个学期其他课程workload不是很大的同学去上。,MATH 1320 with A. Morgan: 基本的微积分课，不少major (including Econ)的前置要求，一般都是我们学校的Graduate教，所以比较看运气，能不能选到比较好的Graduate学生，我们这门的老师、TA只能说是slightly above average，不属于教得极好的；进度的话，由于要照顾全班同学，所以对于数学比较能够快速理解掌握的同学，可能会有一点慢。,PSYC 2600 with T. Wilson: 教授是教材的编写者！课上讲得还是很有趣的，但是主要是各种实验，其实主要的学习过程在于（差不多）每读周一章的textbook；心理相关的topic也很有趣！,STAT 2120 with J. Woo: 统计入门课，部分知识在国内普高理科都会有cover过，总体来讲比较简单；考试占比相较而言不是很大，重点在平常的各种看视频预习，lab，作业assignment，只要能够理解好概念就没什么问题；考试的时候老师会很注重概念的精确掌握，但是A不是什么非常难的事情。
BIOL2100 with David Kittleson， 难度中上，老师上课质量高，作业很多，不easy但是会让你爱上生物，十分推荐想学点有趣的知识erq学过生物的同学们上。,BIOL 2200 with Jessamyn Manson：老师上课质量很高，作业量较少，考试较多，考试难度中上，总体难度中上,MATH1320 with Andrew Kobin：老师人非常好，讲课清晰，课堂内容对于无基础/只考过/上过ap cal 1的同学们来说会比较难，相对来说比较有挑战，推荐有一定基础/上过学校的cal1的同学们上。作业量一般，考试难度较大，课堂难度因人而异。,,
Biol 3240 Immunology - 非常有趣的课，教授非常好（我的课友都爱上了教授），但是难度不低，只能满足elective，不做Reading课就会听不懂。,CS3102 Intro to theory 通过不停写读后感来Extra Credit的课，难度不低，但是却不难拿A，前提是如果天天去上课多做Extra Credit，好好读书的话。教授讲课虽不无聊但是结构混乱。,CS2150 不多说了，非常臭名昭著的课，作业写不停，相对来说还是比较rewarding，可以不用去上课。,Hiea 3112 老师挺不错，相对别的历史课比较水，没什么homework只有一篇paper两个考试，想要满足requirement的可以一上。,
CS 2110 Nada，Nada上课很认真地讲课，没什么雷区。不过有的时候容易lose track她讲的重点。Office Hour对于作业帮助不是很大，最好去找TA，但是Nada的regrade policy比较和蔼，和她聊聊你的解题思路基本能给回一半的分。,CS 2102 Edwad(Edward下学期不交了就不评价了),PSYC 2700 Grossman 水课，上课不用去，没作业，考试基本上全都是ppt的内容（ppt来源于书本），三次midterm，drop一次最低，没有final。讲课比较枯燥，但是child psychology的内容本身比较有意思。,PSYC 3410 Emery 课本是教授写的，个人觉得课本和ppt都不是很organized。但是上课比较有意思。考试有细节也有big concept理解的问题，不容易。没作业，不过有六个optional writing assignment，只要五个达到B-的等级，就可以从A- curve 到A（bump up一个等级）,MUSI 1310 with AC 比较水，内容不多。平均一周一次作业，不难。考试前有practice exam，和真正的考试题型一模一样，比较好准备
MATH3100 with AA：有些难，教授比较有激情但是有些东西需要自学,CS1110 with Luther Tychonievich：教授很有热情，讲的也不错，不是很难,ENWR1510 with Carol Guarnieri：topic是关于法律的，有的reading需要多花时间理解一下，教授人很nice，给分好像还算fair,PSYC2600 with Timothy Wilson：不水，心理学里最喜欢社会心理啦，教授喜欢举例子，讲的还可以,COMM2010 with Roger Martin：网课基本就算自学，习题什么有的到也会有讲解视频和可以邮件／office hour答疑。就是感觉有些烦。
CS3330: Charles Reiss 课的概念有点难 作业和lab其实不难但是考试真的很难很难 不过有curve,CS4102 Nathan Brunelle：教授挺chill的 有几次的hw挺难的但是可以找课友和office hour,CS4750 Nada Basit 课不难 考试都考概念和slides长的。有个semester project 找好队友就不难了,,
